""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"14698","199201","ABC","101","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"26366","199201","ABC","101","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"81175","199201","ABC","101","3","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"79312","199201","ABC","103","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Sexton, Ava C.","Laboratory","W","8:00 AM - 10:50 AM","MB6","1149"
"","Lecture","MWF","12:10 PM - 1:00 PM","LH5","49"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","781691272","Hall","Savannah","UG","4","FR","OTH3","B","RE","savannah.s.hall@fakeu.edu"
"2","173899610","Gutierrez","Ethan","UG","4","FR","ABC1","B","RE","ethan.e.gutierrez@fakeu.edu"
"3","667990198","Washington","Gael","UG","4","FR","O140","D+","RE","gael.j.washington@fakeu.edu"
"4","703790147","Smith","Wyatt","UG","4","SR","OT59","A+","RE","wyatt.a.smith@fakeu.edu"
"5","431295516","Church","Sophia","UG","4","JR","OTH5","B-","RE","sophia.a.church@fakeu.edu"
"6","223653302","Erickson","Diego","UG","4","SR","OT23","B-","RE","diego.h.erickson@fakeu.edu"
"7","187727766","Phillips","Anthony","UG","4","SO","OTH8","B-","RE","anthony.k.phillips@fakeu.edu"
"8","287842301","Baker","Amy","UG","4","SO","OTH8","B+","RE","amy.e.baker@fakeu.edu"
"9","196582518","Thompson","Melody","UG","4","SO","OT16","D+","RE","melody.a.thompson@fakeu.edu"
"10","833886037","Reyes","Elizabeth","UG","4","SR","OT59","A","RE","elizabeth.e.reyes@fakeu.edu"
"11","463392256","Gonzalez","Sofia","UG","4","SR","OT21","B-","RE","sofia.a.gonzalez@fakeu.edu"
"12","249449420","Morris","Lillian","UG","4","SR","OTH6","A-","RE","lillian.a.morris@fakeu.edu"
"13","581215161","Palmer","Angel","UG","4","SO","OT20","F","RE","angel.q.palmer@fakeu.edu"
"14","612176865","Jones","Ryan","UG","4","FR","OT40","B+","RE","ryan.v.jones@fakeu.edu"
"15","321490369","Anderson","Jayden","UG","4","FR","OT26","B","RE","jayden.z.anderson@fakeu.edu"
"16","935213546","Davis","Savannah","UG","4","FR","OT35","B","RE","savannah.a.davis@fakeu.edu"
"17","285841004","Barrett","Nathan","UG","4","SR","OT59","A","RE","nathan.m.barrett@fakeu.edu"
"18","994473318","Wright","Dominic","UG","4","SR","OT21","A-","RE","dominic.q.wright@fakeu.edu"
"19","756221146","Duran","Ryan","UG","4","FR","OT20","I","RE","ryan.g.duran@fakeu.edu"
"20","346906734","Sanders","Samantha","UG","4","JR","OT25","I","RE","samantha.a.sanders@fakeu.edu"
"21","492859157","Griffin","William","UG","4","SR","O110","A","RE","william.j.griffin@fakeu.edu"
"22","189321335","Butler","Abigail","UG","4","JR","OT22","A","RE","abigail.a.butler@fakeu.edu"
"23","265963076","Gaines","Oliver","UG","4","SO","OT59","A","RE","oliver.c.gaines@fakeu.edu"
"24","311100365","Graham","Jeremiah","UG","4","SO","OT60","C+","RE","jeremiah.m.graham@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"21569","199201","ABC","103","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Sexton, Ava C.","Lecture","MWF","12:10 PM - 1:00 PM","LH5","49"
"","Laboratory","W","6:10 PM - 9:00 PM","MB6","1149"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","807785742","Long","Jesus","UG","4","FR","OT16","B","RE","jesus.m.long@fakeu.edu"
"2","216846520","Nelson","Christopher","UG","4","FR","DEF1","B+","RE","christopher.j.nelson@fakeu.edu"
